id,prefix,previous_name,label,label_ontology,obsolete_term,matched,current_category,suggested_category
HP:0000739,HP,HP:0000739,Anxiety,hp,False,True,biolink:Disease,biolink:PhenotypicFeature
EFO:0004462,EFO,EFO:0004462,PR interval,efo,False,True,biolink:Disease,
EFO:0007456,EFO,EFO:0007456,pseudomyxoma peritonei,efo,False,True,biolink:Disease,
EFO:0006834,EFO,EFO:0006834,septic shock,efo,False,True,biolink:Disease,
EFO:0003762,EFO,EFO:0003762,vitamin D deficiency,efo,False,True,biolink:Disease,
HP:0001250,HP,HP:0001250,Seizure,hp,False,True,biolink:Disease,biolink:PhenotypicFeature
EFO:0004346,EFO,EFO:0004346,neuroimaging measurement,efo,False,True,biolink:Disease,
EFO:0005802,EFO,EFO:0005802,cartilage disease,efo,False,True,biolink:Disease,
EFO:1000636,EFO,EFO:1000636,inflammatory skin disease,efo,False,True,biolink:Disease,
EFO:0022145,EFO,EFO:0022145,triglycerides in small VLDL measurement,efo,False,True,biolink:Disease,
EFO:0021897,EFO,EFO:0021897,apolipoprotein B to apolipoprotein A1 ratio,efo,False,True,biolink:Disease,
EFO:0010266,EFO,EFO:0010266,Charcot-Marie-Tooth disease type 1G,efo,False,True,biolink:Disease,
OBA:2043190,OBA,OBA:2043190,level of Ran-specific GTPase-activating protein in blood serum,oba,False,True,biolink:Disease,biolink:PhenotypicFeature
EFO:0803382,EFO,EFO:0803382,perivascular space measurement,efo,False,True,biolink:Disease,
EFO:0022238,EFO,EFO:0022238,cholesterol to total lipids in medium LDL percentage,efo,False,True,biolink:Disease,
HP:0001300,HP,HP:0001300,Parkinsonism,hp,False,True,biolink:Disease,biolink:PhenotypicFeature
HP:0001822,HP,HP:0001822,Hallux valgus,hp,False,True,biolink:Disease,biolink:PhenotypicFeature
HP:0002315,HP,HP:0002315,Headache,hp,False,True,biolink:Disease,biolink:PhenotypicFeature
HP:0003040,HP,HP:0003040,Arthropathy,hp,False,True,biolink:Disease,biolink:PhenotypicFeature
EFO:0010681,EFO,EFO:0010681,ileostomy,efo,False,True,biolink:Disease,
EFO:0801229,EFO,EFO:0801229,oral microbiome measurement,efo,False,True,biolink:Disease,
HP:0100543,HP,HP:0100543,Cognitive impairment,hp,False,True,biolink:Disease,biolink:PhenotypicFeature
EFO:0022293,EFO,EFO:0022293,phospholipids in HDL measurement,efo,False,True,biolink:Disease,
EFO:0022335,EFO,EFO:0022335,triglycerides to total lipids in medium VLDL percentage,efo,False,True,biolink:Disease,
HP:0000855,HP,HP:0000855,Insulin resistance,hp,False,True,biolink:Disease,biolink:PhenotypicFeature
HP:0003419,HP,HP:0003419,Low back pain,hp,False,True,biolink:Disease,biolink:PhenotypicFeature
EFO:0006527,EFO,EFO:0006527,smoking status measurement,efo,False,True,biolink:Disease,
EFO:0004138,EFO,EFO:0004138,bundle branch block,efo,False,True,biolink:Disease,
EFO:0800672,EFO,EFO:0800672,fibrinopeptide A measurement,efo,False,True,biolink:Disease,
EFO:0022280,EFO,EFO:0022280,free cholesterol to total lipids in large LDL percentage,efo,False,True,biolink:Disease,
